Wall time,Step,Value
1497544195.456856,118802,1.2367823123931885
1497544200.943298,118828,1.0982728004455566
1497544213.360937,118887,1.1546621322631836
1497544271.85659,119164,1.053490400314331
1497544272.488691,119167,1.1905796527862549
1497544285.549639,119229,1.2438092231750488
1497544352.189277,119545,1.2965673208236694
1497544410.115109,119820,1.2380270957946777
1497544427.628556,119903,1.1793397665023804
1497544486.25258,120181,1.1569881439208984
1497544629.342106,120860,1.2367451190948486
1497544645.348316,120936,1.2683030366897583
1497544690.030718,121148,1.1563891172409058
1497544691.511975,121155,1.158517599105835
1497544700.797012,121199,1.2703430652618408
1497544729.519009,121335,1.2055566310882568
1497544824.112976,121784,1.1540424823760986
1497544828.772484,121806,1.2240557670593262
1497544836.369226,121842,1.1242575645446777
1497544948.493382,122373,1.2356587648391724
1497544949.959532,122380,1.0553747415542603
1497544958.625721,122421,1.1937055587768555
1497544986.5016,122553,1.1659528017044067
1497545079.725996,122995,1.128586769104004
1497545088.339732,123036,1.0907526016235352
1497545090.656473,123047,1.1256816387176514
1497545100.294112,123093,1.1840519905090332
1497545107.24493,123126,1.0995519161224365
1497545108.287862,123131,1.2312566041946411
1497545132.564972,123246,1.2716760635375977
1497545144.194646,123301,1.1640794277191162
1497545178.852801,123462,1.0757027864456177
1497545304.982202,124060,1.0853959321975708
1497545331.344326,124185,1.053652286529541
1497545382.779981,124429,1.2591958045959473
1497545406.81701,124543,1.119225263595581
1497545539.387963,125171,1.229701042175293
1497545585.046477,125387,1.1960551738739014
1497545768.328821,126256,1.1570700407028198
1497545825.659084,126528,1.1749743223190308
1497545832.390706,126560,1.0575759410858154
1497545876.109707,126767,1.2874460220336914
1497545933.773277,127040,1.1686725616455078
1497545959.084528,127160,1.2470183372497559
1497545963.795133,127182,1.1095316410064697
1497545967.355164,127199,1.002046823501587
1497546032.678749,127508,1.1837458610534668
1497546052.287592,127601,1.172020435333252
1497546159.928655,128110,1.1807430982589722
1497546320.178119,128866,1.1860699653625488
1497546392.05389,129207,1.1616425514221191
1497546411.257968,129298,1.2020869255065918
1497546432.115738,129397,1.149134635925293
1497546459.347006,129526,1.1769784688949585
1497546460.832103,129533,1.1955735683441162
1497546510.900429,129770,1.158995270729065
