Wall time,Step,Value
1497575849.240712,25,6.578039169311523
1497575855.26236,57,6.22633695602417
1497575855.704642,60,6.059436321258545
1497575933.503519,589,5.543341159820557
1497575994.781114,905,4.7715582847595215
1497576031.027673,1091,5.042333126068115
1497576054.462622,1211,4.875609397888184
1497576164.721563,1783,4.418602466583252
1497576211.037842,2026,4.20358419418335
1497576227.417226,2112,4.240053653717041
1497576266.06505,2313,4.331105709075928
1497576319.935966,2595,4.180997371673584
1497576347.730453,2740,4.177309989929199
1497576371.909304,2866,4.393531799316406
1497576450.77255,3275,3.534883975982666
1497576517.406427,3620,3.8217389583587646
1497576541.459745,3744,3.611483335494995
1497576543.212242,3753,3.931225538253784
1497576546.299916,3769,3.666970729827881
1497576561.594505,3848,3.8729467391967773
1497576591.11173,4000,3.566603899002075
1497576595.167076,4021,3.490875244140625
1497576796.697678,5054,3.392930746078491
1497576904.060199,5597,3.0176563262939453
1497576938.851629,5774,3.172692060470581
1497577049.128151,6334,3.2894537448883057
1497577156.23824,6876,3.0466229915618896
1497577217.130643,7184,2.86979341506958
1497577226.318786,7230,2.8097622394561768
1497577250.12375,7350,2.943638324737549
1497577323.514569,7720,2.9084572792053223
1497577343.559897,7821,3.0628435611724854
1497577423.030716,8219,2.5995583534240723
1497577457.275448,8391,2.7378063201904297
1497577561.182383,8911,2.4959776401519775
1497577687.791885,9543,2.3818511962890625
1497577706.034377,9634,2.5094375610351562
1497577708.891916,9648,2.384439468383789
1497577747.139796,9839,2.1565046310424805
1497577769.92235,9952,2.386934757232666
1497577848.100053,10341,2.2697126865386963
1497577855.941523,10380,2.3217313289642334
1497577892.794619,10563,2.334444761276245
1497577899.066546,10594,2.48927903175354
1497577917.02211,10683,2.184847354888916
1497577942.825946,10808,2.3538084030151367
1497577949.449719,10841,2.2354886531829834
1497577968.381409,10935,2.2306859493255615
1497577978.264718,10984,2.467714786529541
1497577982.087972,11003,2.15704083442688
1497578025.213213,11217,2.199086904525757
1497578032.028507,11251,2.1195521354675293
1497578126.967541,11722,2.1337831020355225
1497578245.129063,12306,2.1195931434631348
1497578284.463346,12500,1.9397051334381104
1497578385.315717,12998,2.1696157455444336
1497578407.788107,13109,2.5400145053863525
1497578422.034717,13179,2.1778523921966553
1497578570.995679,13913,1.992041826248169
1497578641.538442,14261,1.898534893989563
1497578656.181775,14333,1.8724076747894287
1497578687.816869,14489,2.1998627185821533
1497578689.255877,14496,1.8463034629821777
1497578699.592144,14547,2.1634373664855957
1497578717.654482,14636,2.0150322914123535
1497578778.088733,14934,1.8536996841430664
1497578797.609172,15030,2.0407907962799072
1497578812.865592,15105,2.024874687194824
1497578826.095526,15170,2.1149849891662598
1497578842.528051,15251,1.937529444694519
1497578892.345399,15496,2.068848133087158
1497578921.116559,15637,1.764580488204956
1497578960.585437,15831,1.9123003482818604
1497579015.034532,16098,2.034242630004883
1497579040.133771,16218,1.8608694076538086
1497579107.486708,16548,1.8402963876724243
1497579126.071814,16639,1.9346566200256348
1497579158.311657,16797,1.8375561237335205
1497579171.449041,16861,1.7599139213562012
1497579313.669506,17558,1.815337896347046
1497579314.911996,17564,1.5829681158065796
1497579358.748288,17779,1.7414320707321167
1497579407.291563,18016,1.6311379671096802
1497579419.404208,18075,1.7190818786621094
1497579702.470154,19456,1.7533550262451172
1497579713.575963,19510,1.7790322303771973
1497579759.532238,19734,1.6471505165100098
1497579769.007542,19780,1.7211289405822754
1497579791.451699,19889,1.5396621227264404
1497579793.702064,19900,1.5876615047454834
1497579952.705026,20673,1.698342204093933
1497580080.142441,21293,1.7821627855300903
1497580156.136195,21659,1.809099793434143
1497580313.910739,22427,1.655380368232727
1497580338.293685,22545,1.63555908203125
1497580377.981719,22737,1.5900869369506836
1497580385.384905,22773,1.7881319522857666
1497580571.129911,23673,1.6366946697235107
1497580632.544486,23971,1.749314546585083
1497580677.112837,24187,1.5495338439941406
1497580996.898072,25734,1.598974585533142
1497581146.430687,26457,1.4672281742095947
1497581243.632791,26922,1.578869342803955
1497581272.624421,27062,1.535823941230774
1497581392.555316,27641,1.5906214714050293
1497581409.328104,27722,1.4781057834625244
1497581538.396712,28344,1.5542998313903809
1497581666.732176,28962,1.6324889659881592
1497581723.71933,29236,1.523364543914795
1497581772.920566,29473,1.402384638786316
1497581881.833926,29997,1.2519476413726807
1497581939.89808,30277,1.3166784048080444
1497581947.342564,30313,1.502097487449646
1497581977.597271,30459,1.431418538093567
1497582011.68389,30623,1.5751948356628418
1497582154.25506,31309,1.255337119102478
1497582158.426126,31329,1.4399182796478271
1497582365.398958,32320,1.3790805339813232
1497582445.694391,32706,1.369311809539795
1497582528.219442,33102,1.3453006744384766
1497582533.627538,33128,1.3259409666061401
1497582541.928567,33168,1.3824489116668701
1497582639.394471,33636,1.389622449874878
1497582697.208077,33913,1.2855491638183594
1497582766.120607,34244,1.4403644800186157
1497582784.490945,34332,1.4357428550720215
1497582864.87415,34718,1.2763903141021729
1497582984.956527,35294,1.27890944480896
1497583010.363811,35416,1.5900506973266602
1497583060.224607,35655,1.3344471454620361
1497583117.138625,35928,1.3774113655090332
1497583165.518441,36160,1.2737334966659546
1497583207.989856,36363,1.3377963304519653
1497583215.506919,36399,1.3545184135437012
1497583246.698447,36548,1.3649909496307373
1497583288.733402,36749,1.3313478231430054
1497583298.970457,36798,1.1474089622497559
1497583328.006219,36937,1.2105941772460938
1497583378.717354,37180,1.367355227470398
1497583505.23134,37782,1.231379508972168
1497583577.10325,38126,1.3289414644241333
1497583820.371246,39291,1.1848427057266235
1497583837.749515,39374,1.248148798942566
1497583858.818209,39475,1.4421507120132446
1497583873.645839,39546,1.3848426342010498
1497583890.551579,39627,1.1476026773452759
1497583925.067349,39792,1.2974735498428345
1497583945.495349,39890,1.324563980102539
1497584006.529053,40182,1.1021045446395874
1497584036.020675,40323,1.4038087129592896
1497584139.088511,40814,1.3008666038513184
1497584177.504355,40998,1.21574866771698
1497584187.338378,41045,1.297258734703064
1497584242.734729,41310,1.2463916540145874
1497584304.658413,41606,1.1690142154693604
1497584397.883166,42051,1.2221007347106934
1497584455.69355,42328,1.2694587707519531
1497584484.82472,42467,1.2574377059936523
1497584598.201471,43005,1.1852190494537354
1497584638.122735,43196,1.2896310091018677
1497584700.142676,43492,1.12739896774292
1497584711.25322,43545,1.1969801187515259
1497584721.910704,43596,1.2895005941390991
1497584726.959389,43620,1.1094043254852295
1497584729.671329,43633,1.1985427141189575
1497584765.935234,43806,1.2227247953414917
1497584767.820423,43815,1.2320247888565063
1497584801.93619,43978,1.2541284561157227
1497584814.32952,44037,1.1147371530532837
1497584834.70938,44134,1.0504928827285767
1497584844.133301,44179,1.2202179431915283
1497584888.699968,44392,1.123399257659912
1497584891.434049,44405,1.213240385055542
1497584926.948795,44574,1.1765305995941162
1497584969.759256,44779,1.170400857925415
1497585105.985622,45429,1.2344369888305664
1497585116.627453,45480,1.2571285963058472
1497585326.968073,46484,1.1889911890029907
1497585357.890889,46632,1.3487706184387207
1497585460.947439,47124,1.169951319694519
1497585464.937071,47143,1.2408499717712402
1497585566.512193,47627,1.2433204650878906
1497585775.106675,48617,1.1295690536499023
1497585783.924691,48659,1.233782410621643
1497585792.293747,48699,1.2174439430236816
